entry,raw_hex,core_busy,fifo1,fifo2,fifo3,div0,div1,div2,div3
0,0x00000000,0000,0,0,0,0,0,0,0
1,0x00000000,0000,0,0,0,0,0,0,0
2,0x00000000,0000,0,0,0,0,0,0,0
3,0x00000000,0000,0,0,0,0,0,0,0
4,0x00000000,0000,0,0,0,0,0,0,0
5,0x00000000,0000,0,0,0,0,0,0,0
6,0x00000000,0000,0,0,0,0,0,0,0
7,0x00000000,0000,0,0,0,0,0,0,0
8,0x00000000,0000,0,0,0,0,0,0,0
9,0x00000000,0000,0,0,0,0,0,0,0
10,0x00000000,0000,0,0,0,0,0,0,0
11,0x00000000,0000,0,0,0,0,0,0,0
12,0x00000000,0000,0,0,0,0,0,0,0
13,0x00000000,0000,0,0,0,0,0,0,0
14,0x00000000,0000,0,0,0,0,0,0,0
15,0x00000000,0000,0,0,0,0,0,0,0
16,0x00000000,0000,0,0,0,0,0,0,0
17,0x00000000,0000,0,0,0,0,0,0,0
18,0x00000000,0000,0,0,0,0,0,0,0
19,0x00000000,0000,0,0,0,0,0,0,0
20,0x00000000,0000,0,0,0,0,0,0,0
21,0x00000000,0000,0,0,0,0,0,0,0
22,0x00000000,0000,0,0,0,0,0,0,0
23,0x00000000,0000,0,0,0,0,0,0,0
24,0x00000000,0000,0,0,0,0,0,0,0
25,0x00000000,0000,0,0,0,0,0,0,0
26,0x00000000,0000,0,0,0,0,0,0,0
27,0x00000000,0000,0,0,0,0,0,0,0
28,0x00000000,0000,0,0,0,0,0,0,0
29,0x00000000,0000,0,0,0,0,0,0,0
30,0x00000000,0000,0,0,0,0,0,0,0
31,0x00000000,0000,0,0,0,0,0,0,0
32,0x00000000,0000,0,0,0,0,0,0,0
33,0x00000000,0000,0,0,0,0,0,0,0
34,0x00000000,0000,0,0,0,0,0,0,0
35,0x00000000,0000,0,0,0,0,0,0,0
36,0x00000000,0000,0,0,0,0,0,0,0
37,0x00000000,0000,0,0,0,0,0,0,0
38,0x00000000,0000,0,0,0,0,0,0,0
39,0x00000000,0000,0,0,0,0,0,0,0
40,0x00000000,0000,0,0,0,0,0,0,0
41,0x00000000,0000,0,0,0,0,0,0,0
42,0x00000000,0000,0,0,0,0,0,0,0
43,0x00000000,0000,0,0,0,0,0,0,0
44,0x00000000,0000,0,0,0,0,0,0,0
45,0x00000000,0000,0,0,0,0,0,0,0
46,0x00000000,0000,0,0,0,0,0,0,0
47,0x00000000,0000,0,0,0,0,0,0,0
48,0x00000000,0000,0,0,0,0,0,0,0
49,0x00000000,0000,0,0,0,0,0,0,0
50,0x00000000,0000,0,0,0,0,0,0,0
51,0x00000000,0000,0,0,0,0,0,0,0
52,0x00000000,0000,0,0,0,0,0,0,0
53,0x00000000,0000,0,0,0,0,0,0,0
54,0x00000000,0000,0,0,0,0,0,0,0
55,0x00000000,0000,0,0,0,0,0,0,0
56,0x00000000,0000,0,0,0,0,0,0,0
57,0x00000000,0000,0,0,0,0,0,0,0
58,0x00000000,0000,0,0,0,0,0,0,0
59,0x00000000,0000,0,0,0,0,0,0,0
60,0x00000000,0000,0,0,0,0,0,0,0
61,0x00000000,0000,0,0,0,0,0,0,0
62,0x00000000,0000,0,0,0,0,0,0,0
63,0x00000000,0000,0,0,0,0,0,0,0
64,0x00000000,0000,0,0,0,0,0,0,0
65,0x00000000,0000,0,0,0,0,0,0,0
66,0x00000000,0000,0,0,0,0,0,0,0
67,0x00000000,0000,0,0,0,0,0,0,0
68,0x00000000,0000,0,0,0,0,0,0,0
69,0x00000000,0000,0,0,0,0,0,0,0
70,0x00000000,0000,0,0,0,0,0,0,0
71,0x00000000,0000,0,0,0,0,0,0,0
72,0x00000000,0000,0,0,0,0,0,0,0
73,0x00000000,0000,0,0,0,0,0,0,0
74,0x00000000,0000,0,0,0,0,0,0,0
